index,name,synopsis,netflix,tiving
0,이상한 변호사 우영우,천재적인 두뇌의 소유자 우영우. 대형 로펌의 신입 변호사이자 자폐 스펙트럼 장애를 가진 여성으로서 법정 안팎에서 다양한 난관을 헤쳐간다.,1,0
1,인사이더,위장 잠입 수사를 하다가 교도소에 수감된 사법연수생. 교도소에서 살아남아 복수하기 위해 재소자들의 불법 도박판에 뛰어든다.,1,0
2,나쁜녀석들: 악의 도시,"타협은 없다. 용서도 없다. 썩은 놈들이 판치는 대한민국, 그놈들 잡으러 나선 나쁜 녀석들의 통쾌한 한 방! 검사는 판을 짜고 조폭과 형사는 발로 뛰니, 전쟁은 시작됐다.",1,0
3,"60일, 지정생존자","갑작스러운 테러로 대참사를 맞은 대한민국. 대통령, 국무총리, 국회의장, 그 모두를 잃었다. 거대한 혼란 속에서 환경부 장관 박무진이 대통령 권한대행으로 지정된다.",1,0
4,종이의 집: 공동경제구역,"통일 한국의 조폐국을 강도단이 장악했다. 인질들이 건물 안에 갇혀 있는 상황. 경찰은 어떻게든 빨리 강도들을 제압하고, 이 작전을 설계한 수수께끼의 인물을 찾아내야 한다.",1,0
5,라이브,공권력의 상징 대한민국 경찰. 하지만 이들도 알고 보면 우리와 닮은 이웃일 뿐. 제복의 무게를 견디며 오늘도 정의를 위해 출동이다! 특별하고도 평범한 삶을 위하여.,1,0
6,미남당,모르는 게 없고 용하기로 소문난 박수무당. 그가 운영하는 수상한 점집이 집요한 형사의 레이더망에 걸려든다.,1,0
7,동백꽃 필 무렵,"천진하지만 강단 있는 싱글 맘 동백. 씩씩하게 살고 싶지만, 세상의 편견이 여전히 힘들다. 이런 그녀를 찾아온 설렘, 어쩌면 사랑. 이제부터, 조금 더 용감해져도 될까.",1,0
8,보좌관,"권력의 그늘에서 권력의 정점을 꿈꾼다. 위험한 야심을 품은 국회의원 보좌관 장태준. 이 음모와 탐욕의 세상에서, 그는 살아남을 수 있을까. 위태로운 도박이 시작된다.",1,0
9,블랙의 신부,최상류층 고객만 모시는 결혼정보회사. 이곳에 발을 들인 한 여자가 전남편의 애인에게 복수할 기회를 엿본다.,1,0
10,연모,"죽은 오빠 대신 남장을 하고 왕세자로 살아가는 쌍둥이 여동생. 궁녀에게 철벽을 치며 문무에 전념하려는 중인데, 이를 어째. 세자 교육을 맡은 남자에게 자꾸 눈길이 가. 이거 혹시, 사랑?",1,0
11,우아한 가,어디 하나 부족할 데 없는 재벌가 외동딸. 그 재벌가의 오너리스크 관리팀에 취직한 삼류 변호사. 두 사람이 15년 전의 비극을 연결 고리로 손을 잡는다. 우아해 보이는 상위 1% 가문의 추악한 비밀을 파헤치기 위해.,1,0
12,사내맞선,친구를 대신해 맞선 자리에 나간 하리. 남자가 겁을 먹고 퇴짜를 놓게 할 작정이다. 하지만 맞선남이 하리가 다니는 회사의 CEO로 드러나며 계획은 엉망이 된다. 게다가 그가 청혼을 하다니.,1,0
13,더케이투,"사랑하던 모든 것을 잃은 채 신분을 숨기고 도주하며 살아가는 남자 김제하. 대선 후보와 관련된 사건에 우연히 얽혀 거대 재벌 가문의 경호원으로 일하게 된 그의 삶에, 그와 마찬가지로 세상에서 잊힌 채 살아온 한 소녀가 등장한다.",1,0
14,클리닝 업,투자증권 회사에서 일하는 3명의 미화원. 인생 역전 기회를 잡기 위해 내부자거래 정보로 주식 시장에 뛰어든다.,1,0
