index,name,synopsis,genre,netflix,tiving
0,서울대작전,"1988년 서울올림픽을 앞두고, 드라이버와 정비 전문가 등이 모인 팀이 특수 위장 작전에 투입된다. 작전의 목표는 대규모 돈세탁 조직의 실체를 밝히고 와해하는 것.","액션 & 어드벤처, 코미디, 블록버스터 코미디",1,0
1,자헤드 2: 전쟁의 영웅들,아프가니스탄에 파견된 해병대원에게 위험천만한 미션이 주어진다. 탈레반에 반기를 들어 유명세를 얻은 여인의 탈출을 돕기 위한 작전이 시작된다.,"밀리터리 영화, 미국 영화, 액션 & 어드벤처",1,0
2,스파이더맨: 노 웨이 홈,사랑하는 이들이 위험해진 상황을 두고 볼 수 없는 피터 파커. 정체가 알려지기 전으로 돌아가려고 닥터 스트레인지에게 도움을 청한다. 그러나 그 과정에서 뜻하지 않은 대재앙을 일으키고 마는데.,"SF 영화, 가족 영화, 미국 영화",1,0
3,데이 시프트,LA에 사는 남자. 일주일 안에 딸의 교육비와 치아 교정비를 마련해야 한다. 가족을 위해 목숨 걸고 일하러 가는 이 남자의 직업은 뱀파이어 사냥꾼!,"미국 영화, 액션 & 어드벤처, 호러 영화",1,0
4,그레이 맨,그림자처럼 활동하던 CIA 요원이 조직의 어두운 비밀을 발견한다. 이런 그의 목에 현상금을 건 소시오패스 기질의 전직 요원. 세계 곳곳을 배경으로 두 사람의 쫓고 쫓기는 추격전이 펼쳐진다.,"미국 영화, 도서 원작 영화, 액션 & 어드벤처",1,0
5,론 서바이버,"아프가니스탄 산악지대에서 수행 중이던 일급비밀 임무. 작전이 실패한 후, 네이비 실 대원의 생존을 위한 사투가 시작된다. 실제 미션을 토대로 한 작품.","밀리터리 영화, 실화 바탕 영화, 미국 영화",1,0
6,또 다른 365일,"신뢰 문제를 극복하려 애쓰는 라우라와 마시모의 관계가 흔들리는 가운데, 끈질긴 나초가 둘을 갈라놓으려 한다.","폴란드 작품, 도서 원작 영화, 드라마 장르",1,0
7,그레이트 월,"단순히 무적의 검은 가루를 손에 넣으려던 윌리엄과 토바르. 뜻밖에도 '무명 수비군'에 합류하게 되고, 60년에 한 번 존재를 드러낸다는 놈들과 거대한 전쟁을 시작한다. 세상을 지키는 최후의 요새에서 맞서 싸워라!","미국 영화, 시대물, 액션 & 어드벤처",1,0
8,강철의 연금술사 완결편: 복수자 스카,이마에 커다란 흉터가 있는 단독 연쇄 살인범. 지금 엘릭 형제 앞에 사상 최강의 적이 나타난다. 《강철의 연금술사》 실사 영화 완결편 2부작 중 첫 번째 작품.,"일본 작품, SF 영화, 액션 & 어드벤처",1,0
9,노바디,"보람 없는 일, 아빠를 무시하는 아이들, 열정 없는 결혼 생활. 평범한 중년의 이 남자, 숨이 막힐 지경이다. 그러던 어느 날, 집에 강도가 들면서 그의 잠자던 위험한 본능이 깨어난다.","미국 영화, 액션 & 어드벤처",1,0
