title,seezn,series_on,watcha,wavve,netflix,tving
이상한 변호사 우영우,1,0,0,0,1,0
인사이더,1,1,0,0,1,0
나쁜녀석들: 악의 도시,1,1,0,0,1,0
"60일, 지정생존자",1,1,0,0,1,0
종이의 집: 공동경제구역,0,0,0,0,1,0
라이브,1,1,0,0,1,0
미남당,1,1,0,1,1,0
동백꽃 필 무렵,1,1,0,1,1,0
보좌관,1,1,0,0,1,0
블랙의 신부,0,0,0,0,1,0
연모,0,1,0,1,1,0
우아한 가,1,1,0,1,0,0
사내맞선,1,1,0,1,1,0
더케이투,1,1,0,0,1,0
클리닝 업,1,1,0,0,1,0
슬기로운 감빵생활,1,1,0,0,1,0
아스달 연대기,1,1,0,0,1,0
도깨비,1,1,0,0,1,0
안녕? 나야!,1,1,1,1,1,0
호텔 델루나,1,1,0,0,1,0
최강 배달꾼,0,1,0,1,1,0
힘쎈 여자 도봉순,1,1,0,0,1,0
(아는 건 별로 없지만) 가족입니다,1,1,0,0,1,0
도도솔솔라라솔,1,1,1,1,1,0
봄밤,1,1,1,1,1,0
무법변호사,1,1,0,0,1,0
더 킹: 영원의 군주,0,1,1,1,1,0
달의 연인 - 보보경심 려,1,1,1,1,1,0
내일,1,1,0,1,1,0
배가본드,1,1,1,1,1,0
또! 오해영,1,1,0,0,1,0
블랙독,1,1,0,0,1,0
화양연화 - 삶이 꽃이 되는 순간,1,1,0,0,1,0
블랙,0,1,0,1,0,0
구필수는 없다,1,0,0,0,1,0
라이프,1,1,0,0,1,0
무브 투 헤븐: 나는 유품정리사입니다,0,0,0,0,1,0
김비서가 왜 그럴까,1,1,0,0,1,0
하이에나,1,1,0,1,1,0
18 어게인,1,1,0,0,1,0
그린마더스클럽,0,1,0,0,1,0
부부의 세계,0,1,1,0,1,0
공작도시,0,1,0,0,1,0
사생활,1,1,0,0,0,0
바람과 구름과 비,0,1,1,1,0,0
라켓소년단,1,1,0,1,1,0
괴물,1,1,0,0,1,0
고요의 바다,0,0,0,0,1,0
결혼작사 이혼작곡,0,1,0,0,1,0
"하이바이, 마마!",1,1,0,0,1,0
사이코지만 괜찮아,1,1,0,0,1,0
밥?잘?사주는?예쁜?누나,0,0,0,0,1,0
초콜릿,1,1,0,0,1,0
"선배, 그 립스틱 바르지 마요",1,1,0,0,1,0
불가살,1,1,0,0,0,0
스타트업,1,1,0,0,1,0
눈이 부시게,1,1,0,0,1,0
품위있는 그녀,1,1,0,0,1,0
마음의 소리,0,0,0,0,1,0
도시남녀의 사랑법,0,0,0,0,1,0
너는 나의 봄,1,1,0,0,1,0
우아한 친구들,1,1,0,0,1,0
으라차차 와이키키,1,1,0,0,1,0
별에서 온 그대,1,1,1,1,1,0
안나라수마나라,0,0,0,0,1,0
마인,1,1,0,0,0,0
신입사관 구해령,1,1,0,1,1,0
아름다운 세상,1,1,0,0,0,0
화유기,1,1,0,0,1,0
구경이,1,1,0,0,1,0
"그 겨울, 바람이 분다",0,0,0,1,1,0
루갈,1,1,0,0,1,0
